Country,Latitude,Longitude,Count
Alemania,51.1638175,10.4478313,6
Bangladesh,-0.2864982,36.0514231,2
Brasil,-10.3333333,-53.2,1
Canadá,61.0666922,-107.991707,1
Croacia,45.3658443,15.6575209,1
Estados Unidos,39.7837304,-100.445882,5
Francia,46.603354,1.8883335,6
India,22.3511148,78.6677428,31
Irán,32.6475314,54.5643516,1
Japón,36.5748441,139.2394179,1
Libia,1.5413852,33.8655404,1
Marruecos,28.3347722,-10.371337908392647,1
Portugal,39.6621648,-8.1353519,1
Reino Unido,54.7023545,-3.2765753,2
Suecia,59.6749712,14.5208584,1
Suiza,46.7985624,8.2319736,1
Turquía,38.9597594,34.9249653,2
Vietnam,15.9266657,107.9650855,1
